point,area,type,months,total1,total2,monthly1,monthly2,total3
臺中市私立哥倫比亞幼兒園,西區,私立,12,196580,9000,16382,750,196580
臺中市私立唐森幼兒園,后里區,私立,12,70000,0,5833,0,70000
臺中市私立唐睿幼兒園,南屯區,準公共化,12,125792,9000,10483,750,125792
臺中市私立善文經典幼兒園,太平區,準公共化,12,133092,9000,11091,750,133092
臺中市私立善美真娃得福幼兒園,梧棲區,私立,12,144240,9000,12020,750,144240
臺中市私立善美真幼兒園,西屯區,私立,12,214200,18000,17850,1500,214200
臺中市私立善言經典幼兒園,太平區,準公共化,12,130536,9000,10878,750,130536
臺中市私立喜悅兒幼兒園,大里區,私立,12,108600,18000,9050,1500,108600
臺中市私立喬治亞幼兒園,大里區,私立,12,135684,0,11307,0,135684
臺中市私立嘉仁幼兒園,龍井區,準公共化,12,113832,34404,9486,2867,113832
臺中市私立國郁幼兒園,西區,準公共化,12,141600,18000,11800,1500,141600
臺中市私立圓明傳幼兒園,西屯區,私立,12,102600,0,8550,0,102600
臺中市私立地球村幼兒園,東區,準公共化,12,129608,9000,10801,750,129608
臺中市私立培德幼兒園,西屯區,私立,12,136800,18000,11400,1500,136800
臺中市私立培育幼兒園,龍井區,私立,12,75240,26400,6270,2200,75240
臺中市私立培英幼兒園,大肚區,私立,12,114320,52800,9527,4400,114320
臺中市私立夏卡爾幼兒園,北屯區,私立,12,118800,24000,9900,2000,118800
臺中市私立夏洛特幼兒園,梧棲區,私立,12,163800,36000,13650,3000,163800
臺中市私立多倫多幼兒園,大里區,準公共化,12,138060,24000,11505,2000,138060
臺中市私立大中幼兒園,大里區,私立,12,160860,0,13405,0,160860
臺中市私立大中科幼兒園,大雅區,準公共化,12,95264,18000,7939,1500,95264
臺中市私立大吉幼兒園,北屯區,私立,12,130800,18000,10900,1500,130800
臺中市私立大地幼兒園,南屯區,私立,12,125600,13500,10467,1125,125600
臺中市私立大大幼兒園,大雅區,準公共化,12,123312,9000,10276,750,123312
臺中市私立大弘幼兒園,西屯區,準公共化,12,123660,6000,10305,500,123660
臺中市私立大愛幼兒園,大里區,準公共化,12,152400,36000,12700,3000,152400
臺中市私立大森林幼兒園,大雅區,私立,12,109160,13500,9097,1125,109160
臺中市私立大甲何嘉仁幼兒園,大甲區,私立,12,146800,0,12233,0,146800
臺中市私立大甲愛兒堡幼兒園,大甲區,準公共化,12,111000,9000,9250,750,111000
臺中市私立大統領幼兒園,大雅區,私立,12,120360,0,10030,0,120360
臺中市私立大自然幼兒園,大甲區,私立,12,130200,24000,10850,2000,130200
臺中市私立大蘋果幼兒園,西區,私立,12,158184,9000,13182,750,158184
臺中市私立大豐幼兒園,潭子區,私立,12,108260,15840,9022,1320,108260
臺中市私立大都會幼兒園,西屯區,私立,12,120000,0,10000,0,120000
臺中市私立大都會探索幼兒園,西屯區,私立,12,338000,18000,28167,1500,338000
臺中市私立大都會福和幼兒園,西屯區,私立,12,234000,18000,19500,1500,234000
臺中市私立大都會逢甲幼兒園,西屯區,私立,12,126000,18000,10500,1500,126000
臺中市私立大里優斯特幼兒園,大里區,私立,12,92128,36000,7677,3000,92128
臺中市私立大里光明幼兒園,大里區,準公共化,12,162000,0,13500,0,162000
臺中市私立大里好兒美幼兒園,大里區,私立,12,150600,18000,12550,1500,150600
臺中市私立大里東昇幼兒園,大里區,私立,12,116052,12000,9671,1000,116052
臺中市私立大里陽光幼兒園,大里區,私立,12,153600,0,12800,0,153600
臺中市私立大雅安徒生幼兒園,大雅區,私立,12,100920,18000,8410,1500,100920
臺中市私立大雅怡安幼兒園,大雅區,私立,12,144000,36000,12000,3000,144000
臺中市私立大雅曼哈頓幼兒園,大雅區,準公共化,12,123720,13500,10310,1125,123720
臺中市私立大雅格瑞特幼兒園,大雅區,私立,12,107720,13500,8977,1125,107720
臺中市私立大雅維多莉雅幼兒園,大雅區,準公共化,12,107292,0,8941,0,107292
臺中市私立天堂鳥幼兒園,北屯區,準公共化,12,183000,9000,15250,750,183000
臺中市私立天擎幼兒園,東區,私立,12,206400,9000,17200,750,206400
臺中市私立天津幼兒園,北區,私立,12,113896,18000,9491,1500,113896
臺中市私立天祥幼兒園,大肚區,私立,12,118920,28800,9910,2400,118920
臺中市私立太和幼兒園,北屯區,私立,12,193600,24000,16133,2000,193600
臺中市私立太平好兒美幼兒園,太平區,私立,12,138400,18000,11533,1500,138400
臺中市私立太平華興幼兒園,太平區,準公共化,12,106332,24000,8861,2000,106332
臺中市私立奇美幼兒園,豐原區,準公共化,12,131192,0,10933,0,131192
臺中市私立奧克蘭幼兒園,北區,私立,12,201360,18000,16780,1500,201360
臺中市私立如果幼兒園,西屯區,私立,12,171000,13500,14250,1125,171000
臺中市私立威之森幼兒園,西屯區,私立,12,257600,9000,21467,750,257600
臺中市私立威爾森幼兒園,南屯區,私立,12,156600,9000,13050,750,156600
臺中市私立娃娃國幼兒園,龍井區,私立,12,96000,0,8000,0,96000
臺中市私立娃得福幼兒園,北屯區,私立,12,222000,18000,18500,1500,222000
臺中市私立子曰幼兒園,西屯區,私立,12,206400,18000,17200,1500,206400
臺中市私立孟昇幼兒園,潭子區,準公共化,12,105408,9000,8784,750,105408
臺中市私立孩子國幼兒園,潭子區,私立,12,143000,18000,11917,1500,143000
臺中市私立孩子國蒙特梭利幼兒園,西區,準公共化,12,134680,36000,11223,3000,134680
臺中市私立學兒樂幼兒園,北區,準公共化,12,138000,13500,11500,1125,138000
臺中市私立學士堡幼兒園,太平區,準公共化,12,114612,9000,9551,750,114612
臺中市私立安君兒幼兒園,北區,私立,12,146100,13500,12175,1125,146100
臺中市私立安安幼兒園,北區,準公共化,12,112284,13500,9357,1125,112284
臺中市私立安徒生幼兒園,南屯區,私立,12,122160,9000,10180,750,122160
臺中市私立安心幼兒園,大甲區,私立,12,128762,143616,10730,11968,128762
臺中市私立安欣幼兒園,大雅區,準公共化,12,116904,12000,9742,1000,116904
臺中市私立宏典幼兒園,烏日區,私立,12,129960,24000,10830,2000,129960
臺中市私立宜欣幼兒園,太平區,準公共化,12,113892,18000,9491,1500,113892
臺中市私立寶樹幼兒園,南區,準公共化,12,125052,13500,10421,1125,125052
臺中市私立寶比幼兒園,大里區,準公共化,12,116040,36000,9670,3000,116040
臺中市私立寶貝熊幼兒園,太平區,私立,12,66800,18000,5567,1500,66800
臺中市私立寶貝袋鼠幼兒園,北區,私立,12,114000,18000,9500,1500,114000
臺中市私立小博士幼兒園,太平區,私立,12,115400,18000,9617,1500,115400
