point,area,type,months,total1,total2,monthly1,monthly2,total3
臺南市私立維也納幼兒園,仁德區,私立,12,114200,26400,9517,2200,114200
臺南市私立維多利亞人文藝術幼兒園,東區,準公共化,12,141600,30000,11800,2500,141600
臺南市私立維多利亞幼兒園,佳里區,私立,12,108000,0,9000,0,108000
臺南市私立維尼寶貝幼兒園,東區,私立,12,222400,22800,18533,1900,222400
臺南市私立美士堡幼兒園,新化區,私立,12,146400,72000,12200,6000,146400
臺南市私立群力幼兒園,北區,準公共化,12,122128,9000,10177,750,122128
臺南市私立群英幼兒園,下營區,私立,12,90600,0,7550,0,90600
臺南市私立翌愛幼兒園,麻豆區,私立,12,82000,0,6833,0,82000
臺南市私立而勇幼兒園,北區,準公共化,12,141600,48000,11800,4000,141600
臺南市私立耶魯幼兒園,東區,私立,12,125200,0,10433,0,125200
臺南市私立聖三幼兒園,佳里區,私立,12,109800,36000,9150,3000,109800
臺南市私立聖保羅幼兒園,善化區,私立,12,122400,26400,10200,2200,122400
臺南市私立聖兒幼兒園,南區,私立,12,139800,0,11650,0,139800
臺南市私立聖名幼兒園,新化區,私立,12,76000,79200,6333,6600,76000
臺南市私立聖宜幼兒園,仁德區,私立,12,117000,66000,9750,5500,117000
臺南市私立聖德幼兒園,安平區,準公共化,12,96480,9000,8040,750,96480
臺南市私立聖心幼兒園,永康區,私立,12,96000,39600,8000,3300,96000
臺南市私立聖恩幼兒園,安南區,準公共化,12,157600,9000,13133,750,157600
臺南市私立聖母幼兒園,仁德區,私立,12,96000,0,8000,0,96000
臺南市私立育仁幼兒園,歸仁區,私立,12,135000,26400,11250,2200,135000
臺南市私立育善幼兒園,新化區,準公共化,12,103884,9000,8657,750,103884
臺南市私立育多幼兒園,北區,私立,12,70000,0,5833,0,70000
臺南市私立育寶幼兒園,東區,私立,12,56400,0,4700,0,56400
臺南市私立育昇幼兒園,仁德區,私立,12,112800,22800,9400,1900,112800
臺南市私立育智幼兒園,永康區,準公共化,12,141600,63360,11800,5280,141600
臺南市私立至善幼兒園,歸仁區,準公共化,12,118240,39600,9853,3300,118240
臺南市私立至德幼兒園,安南區,準公共化,12,126848,9000,10571,750,126848
臺南市私立至真幼兒園,永康區,準公共化,12,119564,48000,9964,4000,119564
臺南市私立至美幼兒園,歸仁區,準公共化,12,114380,39600,9532,3300,114380
臺南市私立興文齋幼兒園,中西區,私立,12,159000,52800,13250,4400,159000
臺南市私立舉人幼兒園,白河區,準公共化,12,95760,9000,7980,750,95760
臺南市私立艾的佳幼兒園,南區,私立,12,172000,105600,14333,8800,172000
臺南市私立艾蒙利幼兒園,安平區,私立,12,152300,48000,12692,4000,152300
臺南市私立艾迪斯幼兒園,永康區,準公共化,12,216000,9000,18000,750,216000
臺南市私立芝蔴階幼兒園,安南區,私立,12,152900,48000,12742,4000,152900
臺南市私立英格堡幼兒園,永康區,私立,12,162000,72000,13500,6000,162000
臺南市私立荃心幼兒園,安平區,私立,12,91200,24000,7600,2000,91200
臺南市私立荷本幼兒園,東區,私立,12,150000,36000,12500,3000,150000
臺南市私立荷本藝術幼兒園,東區,私立,12,180000,22800,15000,1900,180000
臺南市私立華一幼兒園,柳營區,準公共化,12,98556,9000,8213,750,98556
臺南市私立華德幼兒園,安南區,私立,12,134400,42000,11200,3500,134400
臺南市私立萊德幼兒園,安南區,準公共化,12,145440,9000,12120,750,145440
臺南市私立萊恩幼兒園,永康區,準公共化,12,147600,24000,12300,2000,147600
臺南市私立萌芽希望種籽幼兒園,新化區,準公共化,12,128448,9000,10704,750,128448
臺南市私立萬是幼兒園,新營區,私立,12,117000,12000,9750,1000,117000
臺南市私立葛瑞特幼兒園,北區,準公共化,12,165600,9000,13800,750,165600
臺南市私立蕃茄幼兒園,新市區,準公共化,12,122748,9000,10229,750,122748
臺南市私立西港意文幼兒園,西港區,私立,12,88200,22800,7350,1900,88200
臺南市私立諾貝爾幼兒園,學甲區,私立,12,122400,51600,10200,4300,122400
臺南市私立貝兒幼兒園,玉井區,準公共化,12,97800,9000,8150,750,97800
臺南市私立貝思樂人文藝術幼兒園,安南區,私立,12,176400,22800,14700,1900,176400
臺南市私立貝特幼兒園,柳營區,準公共化,12,110868,9000,9239,750,110868
臺南市私立資優生幼兒園,永康區,準公共化,12,146400,9000,12200,750,146400
臺南市私立輔仁幼兒園,永康區,準公共化,12,153600,9000,12800,750,153600
臺南市私立輔大幼兒園,東區,準公共化,12,180000,36000,15000,3000,180000
臺南市私立達文西幼兒園,安南區,私立,12,186600,14400,15550,1200,186600
臺南市私立郡豐幼兒園,永康區,私立,12,172000,24000,14333,2000,172000
臺南市私立金典幼兒園,白河區,私立,12,137600,47520,11467,3960,137600
臺南市私立金城幼兒園,安平區,準公共化,12,98280,12000,8190,1000,98280
臺南市私立金蘋果幼兒園,南區,準公共化,12,120000,9000,10000,750,120000
臺南市私立金銀島幼兒園,南區,私立,12,196000,12000,16333,1000,196000
臺南市私立銘幼幼兒園,新化區,準公共化,12,103620,36000,8635,3000,103620
臺南市私立長女幼兒園,東區,私立,12,151800,30400,12650,2533,151800
臺南市私立長春藤幼兒園,南區,私立,12,84000,0,7000,0,84000
臺南市私立長欣幼兒園,東區,私立,12,144000,22800,12000,1900,144000
臺南市私立開元幼兒園,北區,準公共化,12,128860,9000,10738,750,128860
臺南市私立開心幼兒園,後壁區,準公共化,12,116040,9000,9670,750,116040
臺南市私立青蘋果幼兒園,永康區,準公共化,12,152000,22800,12667,1900,152000
臺南市私立非凡幼兒園,永康區,準公共化,12,150000,9000,12500,750,150000
臺南市私立領袖學院崇德幼兒園,東區,準公共化,12,133440,9000,11120,750,133440
臺南市私立領袖學院慈仁幼兒園,東山區,準公共化,12,93240,0,7770,0,93240
臺南市私立魔荳幼兒園,安平區,準公共化,12,155760,9000,12980,750,155760
臺南市私立鴻仁幼兒園,仁德區,準公共化,12,108000,0,9000,0,108000
臺南市立仁德幼兒園,仁德區,公立,9.5,33095,0,3484,0,33095
臺南市立學甲幼兒園,學甲區,公立,9.5,33095,0,3484,0,33095
臺南市立將軍幼兒園,將軍區,公立,9.5,34187,0,3599,0,34187
臺南市立第一幼兒園,中西區,公立,9.5,33095,200,3484,21,33095
臺南市立第六幼兒園,安南區,公立,9.5,33095,0,3484,0,33095
臺南市立第四幼兒園大同分班,安南區,公立,9.5,33095,200,3484,21,33095
臺南市立關廟幼兒園,關廟區,公立,9.5,33095,0,3484,0,33095
臺南市立麻豆幼兒園,麻豆區,公立,9.5,33095,200,3484,21,33095
臺南市西港區成功國民小學附設幼兒園,西港區,公立,9.5,34187,200,3599,21,34187
臺南市龍崎區龍崎國民小學附設幼兒園,龍崎區,公立,9.5,34187,0,3599,0,34187
財團法人中華基督教衛理公會附設臺南市私立衛理幼兒園,中西區,準公共化,12,115092,9000,9591,750,115092
財團法人中華民國佛教慈濟慈善事業基金會附設臺南市私立台南大愛幼兒園,仁德區,私立,12,103000,0,8583,0,103000
財團法人佛光山文教基金會附設臺南市私立小天星幼兒園,新營區,準公共化,12,124320,9000,10360,750,124320
財團法人台南市私立母佑會社會福利慈善基金會附設臺南市私立母佑幼兒園,東區,私立,12,113400,31200,9450,2600,113400
財團法人台灣聖公會附設臺南市私立聖公會幼兒園,東區,私立,12,120000,24000,10000,2000,120000
財團法人天主教方濟各會附設臺南市私立麻豆樂人幼兒園,麻豆區,私立,12,129000,75840,10750,6320,129000
財團法人天主教聖母無原罪方濟傳教修女會附設臺南市私立樂仁幼兒園,新營區,私立,12,136800,36000,11400,3000,136800
財團法人眼淨和尚然妙和尚文教基金會附設臺南市私立正覺幼兒園,北區,私立,12,109600,72000,9133,6000,109600
財團法人福智文教基金會附設臺南市私立妙慧幼兒園,東區,準公共化,12,119040,9000,9920,750,119040
